,Name,Address,Url,Sector
18,Shokai Autó kft, 1144 Budapest Füredi u.72-76. ,http://www.mitsubishishop.hu,Autófényezés
19,   SHOKAI AUTÓ KFT., Budapest 1144 Füredi u.72-74 ,http://www.mitsubishiszerviz.hu,Autófényezés
20,Mazda Autóház, 7122 Kakasd. Kossuth u. 8/0 ,http://www.mazdaautohaz.hu,Autófényezés
21,Satand Kft," 1239 Budapest, Grassalkovich út 225. ",http://www.satand.hu,Autófényezés
22,Mazda kereskedés," 7122 Kakasd, Kossuth L. u. 8/0 ",http://www.mazdakereskedes.hu,Autófényezés
23,Kvazár Kft.," 1097 Budapest, Illatos út 9. ",http://www.kvazarfolia.hu,Autófóliázás
24,Üvegezés gyorsszolgálat, 06 20 233 8866 ,http://www.uvegezesgyorsszolgalat.hu,Autófóliázás
25,Magyar atas Kft, 1186 Budapest Közdűlő út. 46-50. ,http://www.atas.hu,Autókozmetika
26,Hilcz és Fia Kft," 7122 Kakasd, Kossuth u. 8/0 ",http://www.hilcz.hu,Autókozmetika
27,Hilcz és Fia Kft," 7122 Kakasd, Kossuth u. 8/0 ",http://www.hilcz.hu,Autószerviz
28,Műszaki vizsgáztató," 1144 Budapest, Rátót utca 18-20 ",http://www.muszakivizsgaztato.hu,Autószerviz
29,Shokai Autó kft, 1144 Budapest Füredi u.72-76. ,http://www.mitsubishishop.hu,Autószerviz
30,   SHOKAI AUTÓ KFT., Budapest 1144 Füredi u.72-74 ,http://www.mitsubishiszerviz.hu,Autószerviz
31,Mazda Autóház, 7122 Kakasd. Kossuth u. 8/0 ,http://www.mazdaautohaz.hu,Autószerviz
32,M0 Szervíz, 2310 Szigetszentmiklós Csepeli út 20 ,http://www.m0szerviz.hu,Autószerviz
33,Mazda kereskedés," 7122 Kakasd, Kossuth L. u. 8/0 ",http://www.mazdakereskedes.hu,Autószerviz
34,Zsombi autósbolt, Budapest 1113 Zsombolyai u. 8 ,http://www.zsombishop.hu,Autó bontó
35,Daewoo Lanos bontó," 2360 Gyál, Vasút u. 6. ",http://www.lanosbonto.hu,Autó bontó
36,Üvegezés gyorsszolgálat, 06 20 233 8866 ,http://www.uvegezesgyorsszolgalat.hu,Autó üveg
37,Hilcz és Fia Kft," 7122 Kakasd, Kossuth u. 8/0 ",http://www.hilcz.hu,Autóvillamosság
38,Shokai Autó kft, 1144 Budapest Füredi u.72-76. ,http://www.mitsubishishop.hu,Autóvillamosság
39,Zsombi autósbolt, Budapest 1113 Zsombolyai u. 8 ,http://www.zsombishop.hu,Autóvillamosság
40,   SHOKAI AUTÓ KFT., Budapest 1144 Füredi u.72-74 ,http://www.mitsubishiszerviz.hu,Autóvillamosság
41,New Jet Kft.," Budapest, XI. Budaörsi út 4. ",http://www.newjet.hu,Autó- Motor bérlés
42,Robogó bérlés - kölcsönzés Budap," 1163 BUDAPEST, KEREPESI ÚT 178 ",http://www.motor-berles.hu,Autó- Motor bérlés
43,Rent a Scooter Budapest," 1163 Budapest, Kerepesi út 178 ",http://www.motor-berles.hu,Autó- Motor bérlés
44,Smart bérlés," 1163 Budapest, Kerepesi út 178 ",http://www.smartberles-budapest.hu,Autó- Motor bérlés
45,Sherpa Team Kft," 1195 Budapest, Hofherr Albert utca 3.  ",http://www.sherpateam.hu,Autó- Motor bérlés
46,Satand Kft," 1239 Budapest, Grassalkovich út 225. ",http://www.satand.hu,Autó- Motor bérlés
47,Kisbusz bérlés, Budapest ,http://xn--kisbusz-brls-jebc.hu,Autó- Motor bérlés
48,Limuzin bérlés, Budapest ,http://olcsolimo.hu,Autó- Motor bérlés
49,Hilcz és Fia Kft," 7122 Kakasd, Kossuth u. 8/0 ",http://www.hilcz.hu,Gépjármű kereskedés
50, M0moto webshop ," 1163 Budapest, Kerepesi út 178. ",http://www.m0moto.hu,Gépjármű kereskedés
51,Quantum-C Hungary Kft.," Budapest, Nagykőrösi út a Fővárosi Autópiaccal szemben. ",http://www.quantum-c.hu,Gépjármű kereskedés
52,Furgon Farm," Budapest, Nagykőrösi út a Fővárosi Autópiaccal szemben.
 ",http://www.furgonfarm.hu,Gépjármű kereskedés
53,Keeway kereskedés és szervíz," 1118 Bp, Budaörsi út 4-18. ",http://www.keewayrobogok.hu,Gépjármű kereskedés
54,Mazda Autóház, 7122 Kakasd. Kossuth u. 8/0 ,http://www.mazdaautohaz.hu,Gépjármű kereskedés
55,Kerax Hungária Kft," 1188 Budapest
Tiszavirág u. 77/b
 ",http://www.kerax.hu,Gépjármű kereskedés
56,ALFA utánfutók," 7122 Kakasd, Kossuth u. 8/0 ",http://www.stemautanfuto.hu,Gépjármű kereskedés
57,Mazda kereskedés," 7122 Kakasd, Kossuth L. u. 8/0 ",http://www.mazdakereskedes.hu,Gépjármű kereskedés
58,IVECO kereskedés," 7122 Kakasd, Kossuth L. u 8/0 ",http://www..ivecoautohaz.hu,Gépjármű kereskedés
59,Hilcz és Fia Kft," 7122 Kakasd, Kossuth u. 8/0 ",http://www.hilcz.hu,Karosszéria lakatos
60,Shokai Autó kft, 1144 Budapest Füredi u.72-76. ,http://www.mitsubishishop.hu,Karosszéria lakatos
61,   SHOKAI AUTÓ KFT., Budapest 1144 Füredi u.72-74 ,http://www.mitsubishiszerviz.hu,Karosszéria lakatos
62,Mazda Autóház, 7122 Kakasd. Kossuth u. 8/0 ,http://www.mazdaautohaz.hu,Karosszéria lakatos
63,Satand Kft," 1239 Budapest, Grassalkovich út 225. ",http://www.satand.hu,Karosszéria lakatos
64,Mazda kereskedés," 7122 Kakasd, Kossuth L. u. 8/0 ",http://www.mazdakereskedes.hu,Karosszéria lakatos
65,M0 Szervíz, 2310 Szigetszentmiklós Csepeli út 20 ,http://www.m0szerviz.hu,Klíma szerelés-töltés
66,Satand Kft," 1239 Budapest, Grassalkovich út 225. ",http://www.satand.hu,Klíma szerelés-töltés
67, M0moto webshop ," 1163 Budapest, Kerepesi út 178. ",http://www.m0moto.hu,Motor-Robogó kereskedés
68,New Jet Kft.," Budapest, XI. Budaörsi út 4. ",http://www.newjet.hu,Motor-Robogó kereskedés
69,HJC MAGYARORSZÁG," 1163 Budapest, Kerepesi út 178. ",http://www.hjc.hu,Motor-Robogó kereskedés
70,Hyosung Magyarország," 1163 Budapest, Kerepesi út 178. ",http://www.hyosung.hu,Motor-Robogó kereskedés
71,Motobi," 1163 Budapest, Kerepesi út 178.  ",http://www.motobi.hu,Motor-Robogó kereskedés
72,SYM robogó," 1163 Budapest, Kerepesi út 178. ",http://www.symrobogo.hu,Motor-Robogó kereskedés
73,ALFA utánfutók," 7122 Kakasd, Kossuth u. 8/0 ",http://www.stemautanfuto.hu,Motor-Robogó kereskedés
74,Hilcz és Fia Kft," 7122 Kakasd, Kossuth u. 8/0 ",http://www.hilcz.hu,Műszaki vizsga
75,Műszaki vizsgáztató," 1144 Budapest, Rátót utca 18-20 ",http://www.muszakivizsgaztato.hu,Műszaki vizsga
76,Shokai Autó kft, 1144 Budapest Füredi u.72-76. ,http://www.mitsubishishop.hu,Műszaki vizsga
77,Furgon Farm," Budapest, Nagykőrösi út a Fővárosi Autópiaccal szemben.
 ",http://www.furgonfarm.hu,Műszaki vizsga
78,Zsombi autósbolt, Budapest 1113 Zsombolyai u. 8 ,http://www.zsombishop.hu,Műszaki vizsga
79,   SHOKAI AUTÓ KFT., Budapest 1144 Füredi u.72-74 ,http://www.mitsubishiszerviz.hu,Műszaki vizsga
80,Mazda Autóház, 7122 Kakasd. Kossuth u. 8/0 ,http://www.mazdaautohaz.hu,Műszaki vizsga
81,Kerax Hungária Kft," 1188 Budapest
Tiszavirág u. 77/b
 ",http://www.kerax.hu,Műszaki vizsga
82,ALFA utánfutók," 7122 Kakasd, Kossuth u. 8/0 ",http://www.stemautanfuto.hu,Műszaki vizsga
83,Mazda kereskedés," 7122 Kakasd, Kossuth L. u. 8/0 ",http://www.mazdakereskedes.hu,Műszaki vizsga
84,Eredetvizsgáló állomás Zugló," 1144 Budapest, Rátót utca 18-20  ",http://www.eredetisegvizsgalas.hu,Eredetvizsga
85,Satand Kft," 1239 Budapest, Grassalkovich út 225. ",http://www.satand.hu,Autómentés
86,Mazda kereskedés," 7122 Kakasd, Kossuth L. u. 8/0 ",http://www.mazdakereskedes.hu,Autómentés
87,Autómentés, Magyarország ,http://www.autó-mentés.hu,Autómentés
88,Autómentés-szállítás," 2360 Gyál, Vasút u. 6 ",http://automento-024.hu,Autómentés
89,Gyógynövény-Illatszer webshop, ,http://www.illatszerszakuzlet.hu/,Illatszer
90,Via Moda, budapest ,http://www.viamoda.hu,Ruházat
91,Ruha webshop, Budapest ,http://www.pmfashionshop.com/,Ruházat
92,Olcsó Üveges," Magyarország, Budapest ",http://www.olcsóüveges.hu,Ruházat
93,Gyémántszalon," Budapest, 1132 Csanády utca 11.  ",http://www.gyemantszalon.hu/,Csontkovács
94,Masszázsdoktor," 1118  Budapest, Csenger út 10 ",http://www.masszazsdoktor.hu,Csontkovács
95,Masszázsdoktor, 8230 Balatonfüred Mikszáth Kálmán út „K” épület 4. ,http://www.masszazsdoktor.hu,Csontkovács
96,Elektromos cigaretta bolt," 1042 Budapest, Petőfi utca 14. ",http://www.elektromoscigarettabolt.hu,Dohányzás leszoktatás
97,E-cigi liquid, ,http://www.ecigliquid.hu,Dohányzás leszoktatás
98,Galea Hungary Kft," 1046 Budapest, Kiss Ernő u. 3/a ",http://elektromoscigarettanagykereskedes.hu,Dohányzás leszoktatás
99,Erzsébet Dentál fogászat, 1203 Budapest Lajtha László utca 24. fsz. 5 ,http://www.erzsebet-fogaszat.hu,Fogászat-fogtechnika
100,Tündér-Liget," 1182 Budapest, Cziffra György u. 74/b ",http://www.tunder-liget.hu,Gyógynövény
101,Gyógynövény-Illatszer webshop, ,http://www.illatszerszakuzlet.hu/,Gyógynövény
102,Naturalbox, ,http://www.naturalbox.hu,Gyógynövény
103,BigX webshop, Magyarország ,http://www.bigx.hu,Gyógynövény
104,Gyémántszalon," Budapest, 1132 Csanády utca 11.  ",http://www.gyemantszalon.hu/,Gyógytornász
105,Gyógyhipnózis," 1114 Budapest, Bocskai út 21 ",http://www.gyogyhipno.hu,Kineziológus
106,Spamasszázs Kft," . 1115 Budapest, Bartók Béla út 96. I/16 ",http://www.fogyasztokezeles.hu,Masszázs
107,Csak Hajvágó Szalon, Budapest XII. Alkotás u. 1/A – a Délu pu.-val szemben ,http://www.moderno.hu,Masszázs
108,Gyémántszalon," Budapest, 1132 Csanády utca 11.  ",http://www.gyemantszalon.hu/,Masszázs
109,AVATAR HOLISZTIKUS SZÉPSÉGSZALON, Budapest XI. Bartók Béla út 66. ,http://www.holisztikusgyogyaszat.hu,Masszázs
110,Gyógymasszázs," 1193 Budapest, Csokonai u. 2. ",http://www.gyogymasszazs-budapest.hu,Masszázs
111,Masszázsdoktor," 1118  Budapest, Csenger út 10 ",http://www.masszazsdoktor.hu,Masszázs
112,Masszázsdoktor, 8230 Balatonfüred Mikszáth Kálmán út „K” épület 4. ,http://www.masszazsdoktor.hu,Masszázs
113,Tündér-Liget," 1182 Budapest, Cziffra György u. 74/b ",http://www.tunder-liget.hu,Masszázs
114,Cédrus Centrum," 1114 Budapest, Bocskai út 21., félemelet 3a ",http://www.cedrus-neked.hu/,Masszázs
115,Tündér liget," 1182 Budapest, Cziffra György u. 74/b ",http://www.tunder-liget.hu,Masszázs
116,Baba Bowen," 1185 Budapest, Bókay Árpád u. 74. ",http://www.bababowen.hu,Masszázs
117,Anyajegy eltávolítás,"  1111. Budapest, Budafoki út 10/a  ",http://www.anyajegylevetel.hu,Plasztikai sebészet
118,Dr. Doleviczényi Zoltán PhD," 1111. Budapest, Budafoki út 10/a ",http://www.dolemed.hu,Plasztikai sebészet
119,Orrplasztika, 1037 Budapest Montevideó u. 16/B ,http://www.orr-plasztika.hu,Plasztikai sebészet
120,Mellplasztika," 1037 Budapest, Montevideó u. 16/B ",http://www.mell-plasztika.hu,Plasztikai sebészet
121,"Hipnózis, hipnoterápia"," 1114 Budapest, Bocskai út 21., félemelet 3a ",http://http://gyogyhipno.hu/,Pszichiáter-Pszichológus
122,Gyógyhipnózis," 1114 Budapest, Bocskai út 21 ",http://www.gyogyhipno.hu,Pszichiáter-Pszichológus
123,Erzsébet Dentál fogászat, 1203 Budapest Lajtha László utca 24. fsz. 5 ,http://www.erzsebet-fogaszat.hu,Szájsebész
124,Gyémántszalon," Budapest, 1132 Csanády utca 11.  ",http://www.gyemantszalon.hu/,Természetgyógyászat
125,AVATAR HOLISZTIKUS SZÉPSÉGSZALON, Budapest XI. Bartók Béla út 66. ,http://www.holisztikusgyogyaszat.hu,Természetgyógyászat
126,Cédrus Centrum," 1114 Budapest, Bocskai út 21., félemelet 3a ",http://www.cedrus-neked.hu/,Természetgyógyászat
127, Péter Viktória, ,http://www.angyalokvilaga.hu/,Természetgyógyászat
128,Naturalbox, ,http://www.naturalbox.hu,Természetgyógyászat
129,Tündér liget," 1182 Budapest, Cziffra György u. 74/b ",http://www.tunder-liget.hu,Természetgyógyászat
130,Baba Bowen," 1185 Budapest, Bókay Árpád u. 74. ",http://www.bababowen.hu,Természetgyógyászat
131,Gyógyhipnózis," 1114 Budapest, Bocskai út 21 ",http://www.gyogyhipno.hu,Természetgyógyászat
132,Akro-Békés Trade," 5600 Békéscsaba, Kétegyházi út 6.
 ",http://www.akrobekes.hu,Élelmiszer 
133,Hunland Food Kft.," 2142 Nagytarcsa, Naplás út 20.  ",http://http://hunlandfood.eu/,Élelmiszer 
134,Tündér-Liget," 1182 Budapest, Cziffra György u. 74/b ",http://www.tunder-liget.hu,Élelmiszer 
135,FMetal Kft.," 6800 Hódmezővásárhely, Holló u. 44. ",http://www.cukipontnulla.hu,Élelmiszer 
136,Oligo 2000 Kft," 1214 Budapest, Orion utca 14. ",http://www.elelmiszernagyker.hu,Élelmiszer 
137,Zenobio Kft.," 1087 Budapest, Kerepesi út 1-5 ",http://www.itafood.hu,Élelmiszer 
138,Tündér liget," 1182 Budapest, Cziffra György u. 74/b ",http://www.tunder-liget.hu,Élelmiszer 
139,BOVO Főtt Tojásfehérje Rudak, 1112 Budapest Sasadi út 130. ,http://www.bestprotein.eu,Élelmiszer 
140,Szoboszlay Pincészet," 7100, Szekszárd, Tartsay ltp. 36. 1/4. ",http://www.szoboszlay.hu,Borászat
141,Siklós Előd, Budaörs ,http://www.intarzbutor.hu,Asztalos
142,Olcsó asztalos," 1201 Budapest, Helsinki út 101. ",http://olcsoasztalos.hu,Asztalos
143,Lapszabászat," 1201 Budapest, Helsinki út 101. ",http://www.olcsolapszabaszat.hu/,Asztalos
144,Társasházkezelés, Budapest ,http://www.tarsashazkezeles-karbantartas.hu,Burkoló
145,Dugulás elhárítás, Budapest ,http://www.dugulás-elhárítás.hu/,Duguláselhárítás
146,Üvegezés gyorsszolgálat, 06 20 233 8866 ,http://www.uvegezesgyorsszolgalat.hu,Duguláselhárítás
147,Vízmester 17, Budapest XVII. ker. ,http://www.vizmester17.hu,Duguláselhárítás
148,ENERGOTRADE Kft. ," 1172 Budapest, Újszilvás u. 48-50. ",http://www.energotrade.hu,Energetikai tanúsítvány
149,Andezit Kft.," 3200 Gyöngyös, Vasút út 5. ",http://www.andezitkft.hu, Építész
150,Modern házak kivitelezése," 2119 Pécel,  Csatári u. 32. ",http://www.modernhaz.com, Építész
151,ENERGOTRADE Kft. ," 1172 Budapest, Újszilvás u. 48-50. ",http://www.energotrade.hu,Épületgépészet
152,Andezit Kft.," 3200 Gyöngyös, Vasút út 5. ",http://www.andezitkft.hu,Épületgépészet
153,Modern házak kivitelezése," 2119 Pécel,  Csatári u. 32. ",http://www.modernhaz.com,Épületgépészet
154,Társasházkezelés, Budapest ,http://www.tarsashazkezeles-karbantartas.hu,Épületgépészet
155,Kvazár Kft.," 1097 Budapest, Illatos út 9. ",http://www.kvazarfolia.hu,Épület fóliázás
156,Üvegezés gyorsszolgálat, 06 20 233 8866 ,http://www.uvegezesgyorsszolgalat.hu,Épület fóliázás
157,Budai Üveges," Budapest, I. ker. Attila út 87. ",http://www.budaiuveges.hu/,Épület fóliázás
158,Bútorszövet," 1134. Budapest, Róbert Károly krt. 82-84. ",http://extrabutorszovet.hu,Függöny
159,Design Fügöny," 1191 Budapest, Üllői út 243‎ ",http://designfuggony.hu,Függöny
160,Függöny áruház," 1134. Budapest, Róbert Károly krt. 82-84. ",http://www.fuggonymintak.hu,Függöny
161,Textilszaküzlet," 1191 Budapest, Üllői út 243. ",http://textilszakuzlet.hu,Függöny
162,Pliszé függöny," 1191 Budapest, Üllői út 243. ",http://pliszek.hu,Függöny
163,Dekorfüggöny, 1191 Budapest Berzsenyi u. 4 ,http://dekorfuggony.hu,Függöny
164,Modern függöny," 1134 Budapest, Róbert Károly krt. 82-84. ",http://modernfuggony.hu,Függöny
165,Andezit Kft.," 3200 Gyöngyös, Vasút út 5. ",http://www.andezitkft.hu,Földmunka
166,Tóth József  víz- gáz és fűtéssz," Budapest, 1114 Ulászló utca 39-41 ",http://www.gazmester.hu,Fűtésszerelés
167,ENERGOTRADE Kft. ," 1172 Budapest, Újszilvás u. 48-50. ",http://www.energotrade.hu,Fűtésszerelés
168,Vízmester 17, Budapest XVII. ker. ,http://www.vizmester17.hu,Fűtésszerelés
169,Tóth József  víz- gáz és fűtéssz," Budapest, 1114 Ulászló utca 39-41 ",http://www.gazmester.hu,Gázkészülék javítás
170,Tóth József  víz- gáz és fűtéssz," Budapest, 1114 Ulászló utca 39-41 ",http://www.gazmester.hu,Gázszerelő
171,Modern házak kivitelezése," 2119 Pécel,  Csatári u. 32. ",http://www.modernhaz.com,Generálkivitelezés
172,Társasházkezelés, Budapest ,http://www.tarsashazkezeles-karbantartas.hu,Gipszkarton szerelés
173,ENERGOTRADE Kft. ," 1172 Budapest, Újszilvás u. 48-50. ",http://www.energotrade.hu,Hang-tető-hőszigetelés
174,Bútorszövet," 1134. Budapest, Róbert Károly krt. 82-84. ",http://extrabutorszovet.hu,Szőnyeg- Padlószőnyeg
175,Antenna és Klíma Shop Kft.," 1085 Bp., József körút 42. ",http://alfasat.hu,Kábeltévé-antenna
176,τitel Tisztviselőtelepi Telekomu," 1107 Budapest, Fertő utca 8. földszint ",http://www.titel.hu,Kábeltévé-antenna
177,Antenna és Klíma Shop Kft.," 1085 Bp., József körút 42. ",http://alfasat.hu,Klíma
178,ENERGOTRADE Kft. ," 1172 Budapest, Újszilvás u. 48-50. ",http://www.energotrade.hu,Klíma
179,Lakatos mester, ,http://www.femlakatos.hu,Lakatos
180,VF Kft, 2600 Vác Naszály út 18 ,http://www.vfkft.hu,"Régiség, antik bútor bolt"
181,Bútorszövet," 1134. Budapest, Róbert Károly krt. 82-84. ",http://extrabutorszovet.hu,Lakásfelszerelés
182,Függöny áruház," 1134. Budapest, Róbert Károly krt. 82-84. ",http://www.fuggonymintak.hu,Lakásfelszerelés
183,Textilszaküzlet," 1191 Budapest, Üllői út 243. ",http://textilszakuzlet.hu,Lakásfelszerelés
184,Pliszé függöny," 1191 Budapest, Üllői út 243. ",http://pliszek.hu,Lakásfelszerelés
185,Dekorfüggöny, 1191 Budapest Berzsenyi u. 4 ,http://dekorfuggony.hu,Lakásfelszerelés
186,BR2000 Kft," 1134 Budapest, Attila u. 64. ",http://www.irodaktakaritasa.hu,Takarítás
187,Társasházkezelés, Budapest ,http://www.tarsashazkezeles-karbantartas.hu,Takarítás
188,Color Tapéta," 1191 Budapest, Üllői út 243. ",http://www.kispestitapetabolt.hu/,Tapétabolt
189,Tapéta webáruház, ,http://www.tapetarendeles.hu,Tapétabolt
190,Tapéta Mester," 1191 Budapest, Üllői út 243. ",http://www.tapetamester.hu,Tapétabolt
191,Tapéta szaküzlet," 1191 Budapest, Üllői út 243. ",http:// www.tapetaszakuzlet.hu,Tapétabolt
192,Tapéták," 1191 Budapest, Üllői út 243. ",http://www.tapéták.hu,Tapétabolt
193,Bútorszövet," 1134. Budapest, Róbert Károly krt. 82-84. ",http://extrabutorszovet.hu,Tapétabolt
194,Társasházkezelés, Budapest ,http://www.tarsashazkezeles-karbantartas.hu,Társasházkezelés
195,Üvegmester, Budapest ,http://www.uvegek.hu,Üveges
196,Üvegmester Kft, 06 20 233 8866 ,http://www.uvegmester.hu,Üveges
197,Üvegezés gyorsszolgálat, 06 20 233 8866 ,http://www.uvegezesgyorsszolgalat.hu,Üveges
198,Budai Üveges," Budapest, I. ker. Attila út 87. ",http://www.budaiuveges.hu/,Üveges
199,Üveges Szaki, Budapest ,http://www.uvegesszaki.hu,Üveges
200,Gyors Üvegezés, Budapest ,http://www.gyorsuvegezes.hu,Üveges
201,Budapesti Üveges, Budapest ,http://www.budapesti-uveges.hu,Üveges
202,Olcsó Üveges," Magyarország, Budapest ",http://www.olcsóüveges.hu,Üveges
203,Társasházkezelés, Budapest ,http://www.tarsashazkezeles-karbantartas.hu,Villanyszerelő
204,Tóth József  víz- gáz és fűtéssz," Budapest, 1114 Ulászló utca 39-41 ",http://www.gazmester.hu,Vízvezeték szerelő
205,Vízmester 17, Budapest XVII. ker. ,http://www.vizmester17.hu,Vízvezeték szerelő
206,Társasházkezelés, Budapest ,http://www.tarsashazkezeles-karbantartas.hu,Vízvezeték szerelő
207,Társasházkezelés, Budapest ,http://www.tarsashazkezeles-karbantartas.hu,Zár szerelés
208,Pro-Aqua, H-1182 Budapest Beremend u. 31. ,http://www.pro-aqua.hu,Légtisztító
209,VF Kft, 2600 Vác Naszály út 18 ,http://www.vfkft.hu,Antikvitás-régiség
210,Szánmodell webáruház," 1211 Budapest, Ady Endre út 32 ",http://www.szanmodell.hu/,Játékbolt
211,Magyar érme bolt, ,http://www.magyarermebolt.hu,Numizmatika
212,Érmelicit, ,http://www.ermelicit.hu,Numizmatika
213,Meglepetés webshop, ,http://http://www.meglepeteswebshop.hu,Ajándék
214,BR2000 Kft," 1134 Budapest, Attila u. 64. ",http://www.irodaktakaritasa.hu,Ipari alpinista
215,Sherpa Team Kft.,"  1195 Budapest,      Hofherr Albert utca 3.  ",http://www.sherpateam.hu,Ipari gépek-berendezések
216,Mátrix befogó rendszer," 1211 Budapest,  Posztógyár utca 8.  ",http://www.matrix-system.hu,Ipari gépek-berendezések
217,Mobil lézerhegesztés," 1211 Budapest,  Bököny utca 36. ",http://www.mobilleaserwelding.hu,Ipari gépek-berendezések
218,Borealisz légifotó, ,http://www.borealisz.hu,Légifotózás
219,CNC-Center Kft.," 2330 Dunaharaszti, Arany J. u. 61 ",http://www.cnccenter.hu,Gép-alkatrész gyártás
220,CNC-Center Kft," 8200. Veszprém, Szabadság ltp. 27., Alsóerdő utca ",http://www.cnccenter.hu,Gép-alkatrész gyártás
221,MATRIX befogó rendszerek," 1211 Budapest, Posztógyár utca 8. ",http://www.matrix-system.hu,Gép-alkatrész gyártás
222,CNC-Center Kft.," 2330 Dunaharaszti, Arany J. u. 61 ",http://www.cnccenter.hu,Fémmegmunkálás
223,CNC-Center Kft," 8200. Veszprém, Szabadság ltp. 27., Alsóerdő utca ",http://www.cnccenter.hu,Fémmegmunkálás
224,Mobil Lézerhegesztés," 1211 Budapest, Posztógyár utca 8.  ",http://www.mobileaserwelding.hu,Fémmegmunkálás
225,Mobil lézerhegesztés," 1211 Budapest,  Bököny utca 36. ",http://www.mobilleaserwelding.hu,Fémmegmunkálás
226,MATRIX befogó rendszerek," 1211 Budapest, Posztógyár utca 8. ",http://www.matrix-system.hu,Fémmegmunkálás
227,Andezit Kft.," 3200 Gyöngyös, Vasút út 5. ",http://www.andezit.hu,Mély- és magasépítés
228,Sherpa Team Kft.,"  1195 Budapest,      Hofherr Albert utca 3.  ",http://www.sherpateam.hu,Mély- és magasépítés
229,Andezit Kft.," 3200 Gyöngyös, Vasút út 5. ",http://www.andezit.hu,Földmunka
230,Sherpa Team Kft.,"  1195 Budapest,      Hofherr Albert utca 3.  ",http://www.sherpateam.hu,Földmunka
231,Sándor aszfalt Kft., 1141 Budapest Szugló u. 82 ,http://www.sandoraszfalt.hu,Útépítés-aszfaltozás
232,GRUNDIG szakszerviz, ,http://www.grundig-szerviz.hu/,TV szerelő
233,Spillergsm, Budapest 1042 Árpád út 56. ,http://www.spillergsm.hu,Telefon bolt
234,Spillergsm, Budapest 1042 Árpád út 56. ,http://www.spillergsm.hu,Mobiltelefon szerviz
235,Iphone szerviz, Budapest ,http://azonnaliphoneszerviz.hu,Mobiltelefon szerviz
236,Spillergsm, Budapest 1042 Árpád út 56. ,http://www.spillergsm.hu,GPS-Navigáció
237,LCD TV és műszaki áruház," 1156 Budapest, Kontyfa utca 10. ",http://www.muszakiszakuzlet.hu,Műszaki cikk kereskedés
238,Cédrus Centrum," 1114 Budapest, Bocskai út 21., félemelet 3a ",http://www.cedrus-neked.hu/,Masszázs oktatás
239,West Coast Swing Hungary, Budapest ,http://www.westcoastswing.hu,Tánc oktatás
240,Két balláb tánciskola, Budapest. VIII. Rökk Szilárd u. 21. fszt. 3. ,http://http://www.ketballab.hu/,Tánc oktatás
241,Márti tánciskolája, ,http://www.magantancora.hu/,Tánc oktatás
242,Babaúszás Vác," 2600 Vác, Keszeg Utca 49 ",http://www.babauszasvac.hu,Úszás oktatás
243,Mérlegképes könyvelő, 2800 Tatabánya Sárberki ltp. 420. 4/10. ,http://www.konyvelotatabanya.hu,Könyvelő
244,Makkos Judit bérspecialista," 1182 Budapest, Alacskai út 10 ",http://www.szamfejto.hu,Könyvelő
245,SFM bikes," 1163 Budapest, Kerepesi út 178. ",http://www.sfm-bikes.hu,Kerékpár
246,Geribike," 1115 Budapest, Bartók Béla u. 99. ",http://www.geribike.hu,Kerékpár
