url,sentence
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,"In 2014, the share of hazardous waste in total waste generation was below 9.0 % in all of the EU Member States except for Estonia, where it made up a 47.7 % share of the total (see Figure 4)."
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,"Among the non-member countries shown in Figure 4, Serbia recorded the highest share of hazardous waste in total waste generation (27.4 %) due to intensive activity in mining and quarrying, and was followed by Montenegro (24.4 %), Bosnia and Herzegovina (21.2 %, 2012 data) and Norway (11.7 %)."
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,"In 2014, some 2 320 million tonnes of waste were treated in the EU-28 (see Table 3); this includes the treatment of waste imported into the EU and the reported amounts are therefore not directly comparable with those on waste generation."
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,Nearly half (47.4 %) of the waste treated in the EU-28 in 2014 was disposed of other than through incineration (landfilling).
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,A further 36.2 % of the waste treated in the EU-28 in 2014 was sent to recovery operations other than energy recovery and backfilling (for simplification referred to as recycling).
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,"Just over one tenth (10.2 %) of the waste treated in the EU-28 was backfilled, while the remainder was sent for incineration, either with energy recovery (4.7 %) or without (1.5 %)."
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,The quantity of waste subject to disposal in 2014 was 1.7 % lower than it had been in 2004; its share in total waste treatment fell from 54.6 % to 48.9 %.
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,"The quantity of waste recovered, in other words incinerated with energy recovery, recycled or used for backfilling (the use of waste in excavated areas for the purpose of slope reclamation or safety or for engineering purposes in landscaping) grew by 23.4 % from 960 million tonnes in 2004 to 1 185 million tonnes in 2014; as a result, the share of such recovery in total waste treatment rose from 45.4 % in 2004 to 51.1 % by 2014."
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,"In total, 75.6 million tonnes of hazardous waste were treated in the EU-28 in 2014, with more than half of this treated in just three EU Member States, Germany (27.2 %), Bulgaria (16.1 %) and Estonia (13.6 %)(Figure 6)."
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,"Nearly half (49.0 %) of the hazardous waste treated in the EU-28 was landfilled, in other words deposited into or onto land or through land treatment and release into water bodies, equivalent to 73 kg per inhabitant (Figure 7)."
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,Some 6.0 % of all hazardous waste was incinerated without energy recovery (9 kg per inhabitant) and a further 7.4 % with energy recovery (11 kg per inhabitant).
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,"More than one third (37.5 %) of hazardous waste in the EU-28 was recovered (recycled or used for backfilling) in 2014, equivalent to 56 kg per inhabitant."
http://ec.europa.eu/eurostat/statistics-explained/index.php/Waste_statistics,For more information see the Europe 2020 strategy.
http://ec.europa.eu/eurostat/statistics-explained/index.php/Statistical_themes,Europe 2020
http://ec.europa.eu/eurostat/," The fifth edition of the Eurostat publication “The EU in the world” compares the European Union (EU) with the 15 non-EU Group of Twenty (G20) countries in the areas of society, the economy and the environment."
http://ec.europa.eu/eurostat/," On 1 January 2018, the population of the European Union (EU) was estimated at 512.6 million, compared with 511.5 million on 1 January 2017."
http://ec.europa.eu/eurostat/," House prices, as measured by the House Price Index, rose by 4.5% in the euro area and by 4.7% in the EU in the first quarter of 2018 compared with the same quarter of the previous year."
http://ec.europa.eu/eurostat/," The EU28 seasonally adjusted current account of the balance of payments recorded a surplus of €63.9 billion (1.6% of GDP) in the first quarter of 2018, down from a surplus of €68.0 billion (1.8% of GDP) in the fourth quarter of 2017 and up from a surplus of €43.9 billion (1.2% of GDP) in the... more"
http://ec.europa.eu/eurostat/,The European economy since the start of the millennium – a statistical portrait aims to show how main features of the economy of the European Union and its Member States have evolved since 2000 through a large range of statistical data and interactive visualisations.
http://ec.europa.eu/eurostat/,Find the answers with our interactive tool on air passenger transport in the European Union and EFTA countries in 2016.
http://ec.europa.eu/eurostat/,"The New Techniques and Technologies for Statistics (NTTS) 2019 conference is an international biennial scientific conference series, organised by Eurostat, on new techniques and methods for official statistics and the impact of new technologies on statistical collection, production and dissemination systems."
http://ec.europa.eu/eurostat/statistics-explained/index.php/Eurostat_regional_yearbook,"The Eurostat regional yearbook is an online Eurostat publication, also available in paper (latest edition 2017, ISBN: 978-92-79-71617-1, ISSN: 1830-9674, doi: 10.2785/568258, Eurostat cat."
http://ec.europa.eu/eurostat/statistics-explained/index.php/The_EU_in_the_world,"The EU in the world 2018 — A statistical portrait is an online and printed Eurostat publication, also downloadable in PDF format, ISBN 978-92-79-86485-8, doi: 10.2785/990579, Cat."
http://ec.europa.eu/eurostat/statistics-explained/pdfscache/1183.pdf,"%PDF-1.4
%ÐÔÅØ
1 0 obj
<< /S /GoTo /D (Doc-Start) >>
endobj
4 0 obj
(\376\377\000M\000a\000i\000n\000\040\000s\000t\000a\000t\000i\000s\000t\000i\000c\000a\000l\000\040\000f\000i\000n\000d\000i\000n\000g\000s)
endobj
5 0 obj
<< /S /GoTo /D (section*.1) >>
endobj
8 0 obj
(\376\377\000T\000o\000t\000a\000l\000\040\000w\000a\000s\000t\000e\000\040\000g\000e\000n\000e\000r\000a\000t\000i\000o\000n)
endobj
9 0 obj
<< /S /GoTo /D (figure.caption.4) >>
endobj
12 0 obj
(\376\377\000W\000a\000s\000t\000e\000\040\000g\000e\000n\000e\000r\000a\000t\000i\000o\000n\000\040\000e\000x\000c\000l\000u\000d\000i\000n\000g\000\040\000m\000a\000j\000o\000r\000\040\000m\000i\000n\000e\000r\000a\000l\000\040\000w\000a\000s\000t\000e\000s)
endobj
13 0 obj
<< /S /GoTo /D (figure.caption.6) >>
endobj
16 0 obj
(\376\377\000H\000a\000z\000a\000r\000d\000o\000u\000s\000\040\000w\000a\000s\000t\000e\000\040\000g\000e\000n\000e\000r\000a\000t\000i\000o\000n)
endobj
17 0 obj
<< /S /GoTo /D (figure.caption.7) >>
endobj
20 0 obj
(\376\377\000W\000a\000s\000t\000e\000\040\000t\000r\000e\000a\000t\000m\000e\000n\000t)
endobj
21 0 obj
<< /S /GoTo /D (figure.caption.11) >>
endobj
24 0 obj
(\376\377\000D\000a\000t\000a\000\040\000s\000o\000u\000r\000c\000e\000s\000\040\000a\000n\000d\000\040\000a\000v\000a\000i\000l\000a\000b\000i\000l\000i\000t\000y)
endobj
25 0 obj
<< /S /GoTo /D (figure.caption.11) >>
endobj
27 0 obj
(\376\377\000C\000o\000n\000t\000e\000x\000t)
endobj
28 0 obj
<< /S /GoTo /D (figure.caption.11) >>
endobj
30 0 obj
(\376\377\000S\000e\000e\000\040\000a\000l\000s\000o)
endobj
31 0 obj
<< /S /GoTo /D (figure.caption.11) >>
endobj
33 0 obj
(\376\377\000F\000u\000r\000t\000h\000e\000r\000\040\000E\000u\000r\000o\000s\000t\000a\000t\000\040\000i\000n\000f\000o\000r\000m\000a\000t\000i\000o\000n)
endobj
34 0 obj
<< /S /GoTo /D (section*.12) >>
endobj
37 0 obj
(\376\377\000P\000u\000b\000l\000i\000c\000a\000t\000i\000o\000n\000s)
endobj
38 0 obj
<< /S /GoTo /D (section*.12) >>
endobj
40 0 obj
(\376\377\000M\000a\000i\000n\000\040\000t\000a\000b\000l\000e\000s)
endobj
41 0 obj
<< /S /GoTo /D (section*.12) >>
endobj
43 0 obj
(\376\377\000D\000a\000t\000a\000b\000a\000s\000e)
endobj
44 0 obj
<< /S /GoTo /D (section*.12) >>
endobj
46 0 obj
(\376\377\000D\000e\000d\000i\000c\000a\000t\000e\000d\000\040\000S\000e\000c\000t\000i\000o\000n)
endobj
47 0 obj
<< /S /GoTo /D (section*.12) >>
endobj
49 0 obj
(\376\377\000M\000e\000t\000h\000o\000d\000o\000l\000o\000g\000y\000\040\000/\000\040\000M\000e\000t\000a\000d\000a\000t\000a)
endobj
50 0 obj
<< /S /GoTo /D (section*.12) >>
endobj
52 0 obj
(\376\377\000S\000o\000u\000r\000c\000e\000\040\000d\000a\000t\000a\000\040\000f\000o\000r\000\040\000t\000a\000b\000l\000e\000s\000\040\000a\000n\000d\000\040\000f\000i\000g\000u\000r\000e\000s\000\040\000\050\000M\000S\000\040\000E\000x\000c\000e\000l\000\051)
endobj
53 0 obj
<< /S /GoTo /D (section*.12) >>
endobj
55 0 obj
(\376\377\000O\000t\000h\000e\000r\000\040\000i\000n\000f\000o\000r\000m\000a\000t\000i\000o\000n)
endobj
56 0 obj
<< /S /GoTo /D (section*.12) >>
endobj
58 0 obj
(\376\377\000E\000x\000t\000e\000r\000n\000a\000l\000\040\000l\000i\000n\000k\000s)
endobj
59 0 obj
<< /S /GoTo /D [60 0 R /Fit] >>
endobj
79 0 obj <<
/Length 2272      
/Filter /FlateDecode
>>
stream
xÚ¥Érã¸õî¯à­©ª\'§™nÏT§Ò3“Ž]9Lç “°„„‹›¤Úv¾>o£DÉ²û«Ê €·o`(øÅÁZEY–Yb¢´Èƒª½úzGJ)"
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"
Regulation (EC) No 2150/2002 of the European Parliament and of the Council of 25 November 2002 on waste statistics (Text with EEA relevance)  


Official Journal L 332 , 09/12/2002 P. 0001 - 0036"
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"

Regulation (EC) No 2150/2002 of the European Parliament and of the Councilof 25 November 2002on waste statistics(Text with EEA relevance)THE EUROPEAN PARLIAMENT AND THE COUNCIL OF THE EUROPEAN UNION,Having regard to the Treaty establishing the European Community, and in particular Article 285 thereof,Having regard to the proposals from the Commission(1),Having regard to the opinion of the Economic and Social Committee(2),Acting in accordance with the procedure laid down in Article 251 of the Treaty(3),Whereas:(1) Regular Community statistics on the production and management of waste from businesses and private households are required by the Community for monitoring the implementation of waste policy."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"(7) Member States may need a transitional period for the establishment of their statistics on waste for all or some of the economic activities A, B and G to Q of NACE REV 1 as established by Council Regulation (EEC) No 3037/90 of 9 October 1990 on the statistical classification of economic activities in the European Community(5) for which their national statistical system requires major adaptations."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"The statistics shall cover the following areas:(a) Generation of waste according to Annex I;(b) Recovery and disposal of waste according to Annex II;(c) After the pilot studies according to Article 5: import and export of waste for which no data is collected under Council Regulation (EEC) No 259/93 of 1 February 1993 on the supervision and control of shipments of waste within, into and out of the European Community(7), in accordance with Annex III.4."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"The Commission shall, in accordance with the procedure referred to in Article 7(2), establish a table of equivalence between the statistical nomenclature of Annex III and the list of waste established by Commission Decision 2000/532/EC(8).Article 2DefinitionsFor the purposes and within the framework of this Regulation:(a) ""waste"" shall mean any substance or object as defined in Article 1(a) of Council Directive 75/442/EEC of 15 July 1975 on waste(9);(b) ""separately collected fractions of waste"" shall mean household and similar waste, selectively collected in homogeneous fractions by public services, non-profit organisations and private enterprises acting in the field of organised waste collection;(c) ""recycling"" shall have the same meaning as in the definition given in Article 3(7) of European Parliament and Council Directive 94/62/EC of 20 December 1994 on packaging and packaging waste(10);(d) ""recovery"" shall mean any of the operations provided for in Annex II.B to Directive 75/442/EEC;(e) ""disposal"" shall mean any of the operations provided for in Annex II.A to Directive 75/442/EEC;(f) ""recovery or disposal facility"" shall mean a facility that requires a permit or registration pursuant to Articles 9, 10 or 11 of Directive 75/442/EC;(g) ""hazardous waste"" shall mean any waste as defined in Article 1(4) of Council Directive 91/689/EEC of 12 December 1991 on hazardous waste(11);(h) ""non-hazardous waste"" shall mean waste which is not covered by point (g);(i) ""incineration"" shall mean thermal treatment of waste in an incineration plant as defined in Article 3(4) or a co-incineration plant as defined in Article 3(5) of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste(12);(j) ""landfill"" shall mean a waste disposal site as defined in Article 2(g) of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste(13);(k) ""capacity of waste incineration facilities"" shall mean the maximum capacity to incinerate waste, in tonnes per annum or in gigajoules;(l) ""capacity of waste recycling facilities"" shall mean the maximum capacity to recycle waste, in tonnes per annum;(m) ""capacity of landfills"" shall mean the remaining capacity (at the end of the data reference year) of the landfill facility to dispose of waste in the future, measured in cubic metres;(n) ""capacity of other disposal facilities"" shall mean the capacity of the facility to dispose of waste, measured in tonnes per annum.Article 3Collection of data1."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"Member States shall transmit the results, including confidential data, to Eurostat in an appropriate format and within a set period of time from the end of the respective reference periods, as laid down in Annexes I and II.6."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"The pilot studies shall aim to develop a methodology to obtain regular data which shall be governed by the principles of Community statistics, as laid down in Article 10 of Regulation (EC) No 322/97.The Commission shall finance up to 100 % of the costs for conducting the pilot studies."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,The Commission shall finance up to 100 % of the costs for conducting the pilot studies.4.
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"The Commission shall be assisted by the Statistical Programme Committee established by Council Decision 89/382/EEC, Euratom(14).2."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"The Commission shall, within five years after the date of entry into force of this Regulation and every three years thereafter, submit a report to the European Parliament and the Council on the statistics compiled pursuant to this Regulation and in particular on their quality and the burden on businesses.2."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"The Commission shall, within two years after the date of entry into force of this Regulation, submit to the European Parliament and the Council a proposal abolishing overlapping reporting obligations.3."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"The Commission shall, within two years after the entry into force of this Regulation, submit to the European Parliament and the Council a report on the progress of the pilot studies referred to in Article 4(3) and Article 5(1)."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"If necessary, it shall propose revisions of the pilot studies, to be decided upon in accordance with the procedure referred to in Article 7(2).Article 9Entry into forceThis Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Communities.This Regulation shall be binding in its entirety and directly applicable in all Member States.Done at Brussels, 25 November 2002.For the European ParliamentThe PresidentP."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"(3) Opinion of the European Parliament of 4 September 2001 (OJ C 72 E, 21.3.2002, p. 32), Council Common Position of 15 April 2002 (OJ C 145 E, 18.6.2002, p. 85) and Decision of the European Parliament of 4 July 2002 (not yet published in the Official Journal), Decision of the Council of 14 November 2002."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,The Commission will finance up to 100 % of the costs for these pilot studies.
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,The reporting unit to be used for all waste categories is 1000 tonnes of (normal) wet waste.
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,Member States shall furnish data for every second year after the first reference year.SECTION 6Transmission of results to EurostatThe results are to be transmitted within 18 months of the end of the reference year.SECTION 7Report on the coverage and quality of statistics1.
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"Facilities whose waste treatment activities are limited to the recycling of waste on the site where the waste was generated, are not covered by this Annex.SECTION 2Waste categoriesThe list of waste categories for which the statistics are to be compiled, according to each recovery or disposal operation as referred to in section 8(2), are the following:>TABLE>>TABLE>>TABLE>SECTION 3CharacteristicsThe characteristics, for which the statistics are to be compiled on recovery and disposal operations, as referred to in Section 8(2) are set out in the table below.>TABLE>SECTION 4Reporting unitThe reporting unit to be used for all waste categories is 1000 tonnes of (normal) wet waste."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"Member States shall furnish data for every second year, after the first reference year, for the facilities which are referred to in Section 8(2).SECTION 6Transmission of results to EurostatThe results are to be transmitted within 18 months of the end of the reference year.SECTION 7Report on the coverage and quality of statistics1."
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,The Commission will finance up to 100 % of the costs for conducting these pilot studies.
http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:32002R2150:EN:NOT,"from removal of NOx02 Chemical preparation wastes02.1 Off-specification chemical wastes02.11 Agrochemical product wastes1 Hazardousagrochemical wastesinorganic pesticides, biocides and wood preserving agentspesticides02.12 Unused medicines0 Non-hazardousdiscarded chemicals and medicinesmedicines02.13 Paints, varnish, inks and adhesive wastes0 Non-hazardousaqueous liquid waste containing inkaqueous liquid wastes containing adhesives and sealantsaqueous sludges containing adhesives and sealantsaqueous sludges containing inkaqueous sludges containing paint or varnishaqueous suspensions containing paint or varnishdried inkdye stuffs and pigmentshardened adhesives and sealantshardened paints and varnishespowder paintswaste coating powderswaste from paint or varnish removalwaste from water-based inkwaste from water-based paints and varnisheswaste printing toner (including cartridges)wastes from water-based adhesives and sealantswastes not otherwise specified1 Hazardousadhesives and sealants sludges containing halogenated solventsadhesives and sealants sludges free of halogenated solventsink sludges containing halogenated solventsink sludges free of halogenated solventspaint, inks, adhesives and resinssludges from paint or varnish removal containing halogenated solventssludges from paint or varnish removal free of halogenated solventswaste adhesives and sealants containing halogenated solventswaste adhesives and sealants free of halogenated solventswaste ink containing halogenated solventswaste ink free of halogenated solventswaste paints and varnish containing halogenated solventswaste paints and varnish free of halogenated solvents02.14 Other chemical preparation wastes0 Non-hazardousaerosolsbleaching sludges from hypochlorite and chlorine processesbleaching sludges from other bleaching processesdetergentsindustrial gases in high pressure cylinders, LPG containers and industrial aerosol containers (including halons)photographic film and paper containing silver or silver compoundswaste from chemical treatmentwaste from nitrogen chemical processes and fertiliser manufacturewastes from preserving agentswastes from production of silicon and silicon derivativeswastes not otherwise specified1 Hazardousnon-halogenated organic wood preservativesorganochlorinated wood preservativesorganometallic wood preservativesinorganic wood preservativessludges containing mercurydiscarded chemicalsphoto chemicals02.2 Unused explosives02.21 Waste explosives and pyrotechnical products1 Hazardousfireworks wasteother waste explosives02.22 Waste ammunition1 Hazardouswaste ammunition02.3 Mixed chemical wastes02.31 Minor mixed chemical wastes0 Non-hazardousother waste containing inorganic chemicals, e.g."
